Geography2,Area Code3,Area,Pre 1900,1900 to 1918,1919 to 1929,1930 to 1939,1945 to 1954,1955 to 1964,1965 to 1972,1973 to 1982,1983 to 1992,1993 to 1999,2000 to 2009,2010 to 2012,Unknown1,Total
LSOA,E01001759,Hackney 016E,350,40,0,10,30,10,0,210,30,10,0,20,10,720.00 
LSOA,E01001761,Hackney 016F,510,110,0,10,30,20,40,30,40,100,60,50,20,1020.00 
MSOA,E02000361,Hackney 017,"1,600",340,60,50,160,400,80,220,130,80,240,70,20,3450.00 
LSOA,E01001731,Hackney 017A,200,80,0,50,80,320,50,0,0,20,140,30,0,960.00 
LSOA,E01001734,Hackney 017B,480,120,20,0,70,10,30,80,0,0,50,10,0,860.00 
LSOA,E01001760,Hackney 017C,390,50,40,0,10,0,0,150,100,30,40,10,10,820.00 
LSOA,E01001762,Hackney 017D,530,90,0,0,10,70,0,0,30,20,20,30,0,800.00 
MSOA,E02000362,Hackney 018,520,120,30,30,40,120,300,130,390,240,570,150,140,2770.00 
LSOA,E01001846,Hackney 018A,20,0,0,0,0,0,160,10,20,70,180,0,90,550.00 
LSOA,E01001847,Hackney 018B,130,70,30,0,10,40,40,60,80,0,10,120,10,580.00 
LSOA,E01001848,Hackney 018C,250,0,0,0,10,60,90,50,70,10,80,10,40,690.00 
LSOA,E01001849,Hackney 018D,120,50,0,30,30,20,20,0,220,160,290,20,10,950.00 
MSOA,E02000363,Hackney 019,280,50,50,290,710,"1,410",660,470,90,90,280,220,70,4680.00 
LSOA,E01001729,Hackney 019A,40,0,0,150,230,340,0,0,0,10,110,0,0,890.00 
LSOA,E01001730,Hackney 019B,60,10,10,100,50,330,160,0,10,10,40,180,60,1010.00 
LSOA,E01001732,Hackney 019C,20,0,0,40,240,150,80,70,10,30,60,20,0,720.00 
